part_number, frame_name, roll, pitch, yaw, x, y, z
3, center, -pi/2, 0, 0, 0.0, 0.0, 0.0
4, front_hole, pi/2, 0, pi, 0.015, 0.0, 0.0
4, back_hole, -pi/2, 0, 0, -0.005, 0.0, 0.0
4, back_tip, pi/2, 0, pi, -0.005, 0.0, 0.0
4, screw_head_1, 0, pi/2, 0, 0.01, 0.01, -0.00875
4, screw_head_2, 0, pi/2, 0, 0.01, 0.01, 0.00875
5, front_hole, pi/2, 0, pi, 0.0, 0.0, 0.0
5, back_hole, -pi/2, 0, 0, -0.03, 0.0, 0.0
5, back_tip, pi/2, 0, pi, -0.03, 0.0, 0.0
5, inserted, pi/2, 0, pi, -0.008, 0.0, 0.0
5, screw_hole_1, pi/2, 0, pi, 0.0, 0.0, -0.022
5, screw_hole_2, pi/2, 0, pi, 0.0, 0.0, 0.022
5, screw_hole_3, pi/2, 0, pi, 0.0, 0.022, 0.0
5, screw_hole_4, pi/2, 0, pi, 0.0, -0.022, 0.0
6, front_tip, -pi/2, 0, 0, 0.075, 0.0, 0.0
6, back_tip, pi/2, 0, pi, 0.0, 0.0, 0.0
7, center, -pi/2, 0, 0, 0.0, 0.0, 0.0
8, inner_surface, -pi/2, 0, 0, 0.002, 0.0, 0.0
8, screw_hole, pi/2, 0, pi, 0.0, 0.0, 0.0
